company,title,salary,location,submit date,start date
FORD MOTOR COMPANY,"UNSE CAE NVH NOISE, VIBRATION, AND HARSHNESS ENGINEER","112,570","DEARBORN, MI",05/03/2024,05/10/2024
FORD MOTOR COMPANY,US SALES DATA SCIENTIST,"92,040","DEARBORN, MI",11/01/2023,04/20/2024
FORD MOTOR COMPANY,USER EXPERIENCE DESIGNER,"96,450","WESTLAND, MI",11/10/2021,01/03/2022
FORD MOTOR COMPANY,USER INTERACTION DESIGN ENGINEER,"98,000","DEARBORN, MI",03/10/2020,09/08/2020
FORD MOTOR COMPANY,USER INTERFACE DESIGNER,"66,726","DEARBORN, MI",12/14/2018,01/01/2019
FORD MOTOR COMPANY,USER INTERFACE DESIGNER,"83,695","DEARBORN, MI",01/15/2021,02/17/2021
FORD MOTOR COMPANY,USER INTERFACE REQUIREMENTS SENIOR ENGINEER,"97,344","DEARBORN, MI",03/08/2024,07/08/2024
FORD MOTOR COMPANY,UX DESIGNER,"55,800","PALO ALTO, CA",03/04/2019,08/15/2019
FORD MOTOR COMPANY,UX DESIGNER,"79,980","COLUMBUS, GA",07/20/2023,07/24/2023
FORD MOTOR COMPANY,UX DESIGNER,"106,933","CANTON, MI",06/06/2023,06/12/2023
FORD MOTOR COMPANY,UX DESIGNER,"118,200","SANTA CLARA, CA",10/09/2020,11/02/2020
FORD MOTOR COMPANY,UX DESIGNER,"125,000","PALO ALTO, CA",03/19/2019,09/10/2019
FORD MOTOR COMPANY,UX DESIGNER,"129,995","SEATTLE, WA",09/14/2023,09/14/2023
FORD MOTOR COMPANY,V16 V85 CORE QUALITY ENGINEER,"82,638","DEARBORN, MI",04/23/2024,05/12/2024
FORD MOTOR COMPANY,V2X FEATURE DEVELOPMENT AND INNOVATION ENGINEER,"84,300","NOVI, MI",06/30/2021,08/16/2021
FORD MOTOR COMPANY,V2X PRODUCT ENGINEER,"70,200","DEARBORN, MI",02/18/2020,03/23/2020
FORD MOTOR COMPANY,V2X PRODUCT ENGINEER,"80,520","DEARBORN, MI",06/25/2019,07/08/2019
FORD MOTOR COMPANY,V2X RESEARCH ENGINEER,"112,404","PALO ALTO, CA",08/06/2019,09/09/2019
FORD MOTOR COMPANY,V2X RESEARCH ENGINEER,"120,578","SUNNYVALE, CA",04/21/2021,06/01/2021
